[2022-07-13 22:56:17,882] [BBIndicator] [get_results] [INFO]: Percent result is: 0.01
[2022-07-13 22:56:20,895] [BBIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 22:56:20,895] [BBIndicator] [get_results] [INFO]: Percent result is: 1.9538604887370576
[2022-07-13 22:56:20,896] [BBIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 22:56:20,896] [BBIndicator] [get_results] [INFO]: Percent result is: 1.9567317129374509
[2022-07-13 22:56:20,896] [BBIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 22:56:20,896] [BBIndicator] [get_results] [INFO]: Percent result is: 0.01
[2022-07-13 22:56:23,911] [BBIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 22:56:23,911] [BBIndicator] [get_results] [INFO]: Percent result is: 1.9538604887370576
[2022-07-13 22:56:23,912] [BBIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 22:56:23,912] [BBIndicator] [get_results] [INFO]: Percent result is: 1.9567317129374509
[2022-07-13 22:56:23,912] [BBIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 22:56:23,912] [BBIndicator] [get_results] [INFO]: Percent result is: 0.01
[2022-07-13 22:56:26,926] [BBIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 22:56:26,926] [BBIndicator] [get_results] [INFO]: Percent result is: 1.9538604887370576
[2022-07-13 22:56:26,926] [BBIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 22:56:26,926] [BBIndicator] [get_results] [INFO]: Percent result is: 1.9567317129374509
[2022-07-13 22:56:26,927] [BBIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 22:56:26,927] [BBIndicator] [get_results] [INFO]: Percent result is: 0.01
[2022-07-13 22:56:29,929] [BBIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 22:56:29,929] [BBIndicator] [get_results] [INFO]: Percent result is: 1.9538604887370576
[2022-07-13 22:56:29,929] [BBIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 22:56:29,929] [BBIndicator] [get_results] [INFO]: Percent result is: 1.9567317129374509
[2022-07-13 22:56:29,929] [BBIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 22:56:29,929] [BBIndicator] [get_results] [INFO]: Percent result is: 0.01
[2022-07-13 22:56:32,936] [BBIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 22:56:32,936] [BBIndicator] [get_results] [INFO]: Percent result is: 1.9538604887370576
[2022-07-13 22:56:32,937] [BBIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 22:56:32,937] [BBIndicator] [get_results] [INFO]: Percent result is: 1.9567317129374509
[2022-07-13 22:56:32,937] [BBIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 22:56:32,937] [BBIndicator] [get_results] [INFO]: Percent result is: 0.01
[2022-07-13 22:56:35,947] [BBIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 22:56:35,948] [BBIndicator] [get_results] [INFO]: Percent result is: 1.9538604887370576
[2022-07-13 22:56:35,948] [BBIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 22:56:35,948] [BBIndicator] [get_results] [INFO]: Percent result is: 1.9567317129374509
[2022-07-13 22:56:35,948] [BBIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 22:56:35,949] [BBIndicator] [get_results] [INFO]: Percent result is: 0.01
[2022-07-13 22:56:38,964] [BBIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 22:56:38,964] [BBIndicator] [get_results] [INFO]: Percent result is: 1.9538604887370576
[2022-07-13 22:56:38,965] [BBIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 22:56:38,965] [BBIndicator] [get_results] [INFO]: Percent result is: 1.9567317129374509
[2022-07-13 22:56:38,965] [BBIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 22:56:38,965] [BBIndicator] [get_results] [INFO]: Percent result is: 0.01
[2022-07-13 22:57:17,200] [BBIndicator] [init_logger] [INFO]: Initialize logger
[2022-07-13 22:57:17,743] [BBIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-13 22:57:18,286] [BBIndicator] [execute] [INFO]: Execute for Symbol BURGER
[2022-07-13 22:57:18,646] [BBIndicator] [execute] [INFO]: Execute for Symbol LTC
[2022-07-13 22:57:20,661] [BBIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 22:57:20,661] [BBIndicator] [get_results] [INFO]: Percent result is: 18888
[2022-07-13 22:57:20,662] [BBIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 22:57:20,662] [BBIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-13 22:57:20,662] [BBIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 22:57:20,662] [BBIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-13 22:57:23,668] [BBIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 22:57:23,668] [BBIndicator] [get_results] [INFO]: Percent result is: 18888
[2022-07-13 22:57:23,668] [BBIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 22:57:23,668] [BBIndicator] [get_results] [INFO]: Percent result is: 18888
[2022-07-13 22:57:23,668] [BBIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 22:57:23,668] [BBIndicator] [get_results] [INFO]: Percent result is: 888888
[2022-07-13 22:57:26,681] [BBIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 22:57:26,681] [BBIndicator] [get_results] [INFO]: Percent result is: 18888
[2022-07-13 22:57:26,682] [BBIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 22:57:26,682] [BBIndicator] [get_results] [INFO]: Percent result is: 18888
[2022-07-13 22:57:26,682] [BBIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 22:57:26,682] [BBIndicator] [get_results] [INFO]: Percent result is: 888888
[2022-07-13 22:57:29,695] [BBIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 22:57:29,695] [BBIndicator] [get_results] [INFO]: Percent result is: 18888
[2022-07-13 22:57:29,696] [BBIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 22:57:29,696] [BBIndicator] [get_results] [INFO]: Percent result is: 18888
[2022-07-13 22:57:29,696] [BBIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 22:57:29,696] [BBIndicator] [get_results] [INFO]: Percent result is: 888888
[2022-07-13 22:57:32,713] [BBIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 22:57:32,713] [BBIndicator] [get_results] [INFO]: Percent result is: 18888
[2022-07-13 22:57:32,713] [BBIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 22:57:32,713] [BBIndicator] [get_results] [INFO]: Percent result is: 18888
[2022-07-13 22:57:32,714] [BBIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 22:57:32,714] [BBIndicator] [get_results] [INFO]: Percent result is: 888888
[2022-07-13 22:57:35,728] [BBIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
