[2022-07-31 21:40:32,482] [RSIIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-31 21:40:32,482] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:40:32,482] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:40:34,654] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:40:34,669] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:40:37,685] [RSIIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-31 21:40:37,701] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:40:37,701] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:40:39,029] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:40:39,029] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:40:42,279] [RSIIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-31 21:40:42,279] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:40:42,279] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:40:43,622] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:40:43,622] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:40:47,091] [RSIIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-31 21:40:47,091] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:40:47,091] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:40:48,684] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:40:48,684] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:40:54,309] [RSIIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-31 21:40:54,325] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:40:54,325] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:40:56,262] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:40:56,262] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:40:58,592] [RSIIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-31 21:40:58,592] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:40:58,592] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:41:00,626] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:41:00,626] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:41:03,158] [RSIIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-31 21:41:03,174] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:41:03,174] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:41:05,299] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:41:05,314] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:41:07,392] [RSIIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-31 21:41:07,392] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:41:07,392] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:41:08,736] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:41:08,736] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:41:12,252] [RSIIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-31 21:41:12,252] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:41:12,252] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:41:14,361] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:41:14,376] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:41:17,595] [RSIIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-31 21:41:17,595] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:41:17,595] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:41:19,610] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:41:19,610] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:41:25,217] [RSIIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-31 21:41:25,217] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:41:25,217] [RSIIndicator] [get_results] [INFO]: Percent result is: None
