[2022-07-13 23:05:38,195] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:05:38,196] [EMAIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 23:05:38,196] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:09:56,837] [EMAIndicator] [init_logger] [INFO]: Initialize logger
[2022-07-13 23:09:57,946] [EMAIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-13 23:09:59,683] [EMAIndicator] [execute] [INFO]: Execute for Symbol BURGER
[2022-07-13 23:10:00,384] [EMAIndicator] [execute] [INFO]: Execute for Symbol LTC
[2022-07-13 23:10:02,387] [EMAIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 23:10:02,388] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:10:02,388] [EMAIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 23:10:02,388] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:10:02,388] [EMAIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 23:10:02,388] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:10:05,402] [EMAIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 23:10:05,402] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:10:05,403] [EMAIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 23:10:05,403] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:10:05,403] [EMAIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 23:10:05,403] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:10:08,406] [EMAIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 23:10:08,406] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:10:08,407] [EMAIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 23:10:08,407] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:10:08,407] [EMAIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 23:10:08,407] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:10:11,422] [EMAIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 23:10:11,422] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:10:11,422] [EMAIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 23:10:11,422] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:10:11,423] [EMAIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 23:10:11,423] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:22:58,652] [EMAIndicator] [init_logger] [INFO]: Initialize logger
[2022-07-13 23:22:59,751] [EMAIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-13 23:23:00,520] [EMAIndicator] [execute] [INFO]: Execute for Symbol BURGER
[2022-07-13 23:23:01,237] [EMAIndicator] [execute] [INFO]: Execute for Symbol LTC
[2022-07-13 23:23:03,242] [EMAIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 23:23:03,242] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:23:03,242] [EMAIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 23:23:03,242] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:23:03,242] [EMAIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 23:23:03,242] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:23:06,244] [EMAIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 23:23:06,244] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:23:06,245] [EMAIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 23:23:06,245] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:23:06,245] [EMAIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 23:23:06,245] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:23:09,255] [EMAIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 23:23:09,255] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:23:09,256] [EMAIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
