[2022-07-06 23:11:28,758] [indiTest] [check] [INFO]: Sold 2266.6, Currency: BURGER
[2022-07-06 23:11:28,758] [indiTest] [check] [INFO]: Sold 1136.0, Currency: BURGER
[2022-07-06 23:11:28,758] [indiTest] [check] [INFO]: Sold 1136.0, Currency: BURGER
[2022-07-06 23:11:28,758] [indiTest] [check] [INFO]: Sold 1075.6, Currency: BURGER
[2022-07-06 23:11:28,758] [indiTest] [check] [INFO]: Sold 1075.6, Currency: BURGER
[2022-07-06 23:11:28,759] [indiTest] [check] [INFO]: Sold 10634.9, Currency: BURGER
[2022-07-06 23:11:28,759] [indiTest] [check] [INFO]: Sold 10634.9, Currency: BURGER
[2022-07-06 23:11:28,759] [indiTest] [check] [INFO]: Sold 1165.6, Currency: BURGER
[2022-07-06 23:11:28,759] [indiTest] [check] [INFO]: Sold 1165.6, Currency: BURGER
[2022-07-06 23:11:28,759] [indiTest] [check] [INFO]: Sold 2509.0, Currency: BURGER
[2022-07-06 23:11:28,759] [indiTest] [check] [INFO]: Sold 2509.0, Currency: BURGER
[2022-07-06 23:11:28,759] [indiTest] [check] [INFO]: Sold 14416.4, Currency: BURGER
[2022-07-06 23:11:28,759] [indiTest] [check] [INFO]: Sold 14416.4, Currency: BURGER
[2022-07-06 23:11:28,759] [indiTest] [check] [INFO]: Sold 1268.2, Currency: BURGER
[2022-07-06 23:11:28,759] [indiTest] [check] [INFO]: Sold 1268.2, Currency: BURGER
[2022-07-06 23:11:28,759] [indiTest] [check] [INFO]: Sold 1433.5, Currency: BURGER
[2022-07-06 23:11:28,759] [indiTest] [check] [INFO]: Sold 1433.5, Currency: BURGER
[2022-07-06 23:11:28,760] [indiTest] [check] [INFO]: Sold 2093.0, Currency: BURGER
[2022-07-06 23:11:28,760] [indiTest] [check] [INFO]: Sold 2093.0, Currency: BURGER
[2022-07-06 23:11:28,760] [indiTest] [check] [INFO]: Sold 8668.0, Currency: BURGER
[2022-07-06 23:11:28,760] [indiTest] [check] [INFO]: Sold 8668.0, Currency: BURGER
[2022-07-06 23:11:28,760] [indiTest] [check] [INFO]: Sold 4807.5, Currency: BURGER
[2022-07-06 23:11:28,760] [indiTest] [check] [INFO]: Sold 4807.5, Currency: BURGER
[2022-07-06 23:11:28,760] [indiTest] [check] [INFO]: Sold 2765.3, Currency: BURGER
[2022-07-06 23:11:28,760] [indiTest] [check] [INFO]: Sold 2765.3, Currency: BURGER
[2022-07-06 23:11:28,760] [indiTest] [check] [INFO]: Sold 5945.2, Currency: BURGER
[2022-07-06 23:11:28,760] [indiTest] [check] [INFO]: Sold 5945.2, Currency: BURGER
[2022-07-06 23:11:28,760] [indiTest] [check] [INFO]: Sold 2088.8, Currency: BURGER
[2022-07-06 23:11:28,760] [indiTest] [check] [INFO]: Sold 2088.8, Currency: BURGER
[2022-07-06 23:11:28,760] [indiTest] [check] [INFO]: Sold 1050.9, Currency: BURGER
[2022-07-06 23:11:28,760] [indiTest] [check] [INFO]: Sold 1050.9, Currency: BURGER
[2022-07-06 23:11:28,761] [indiTest] [check] [INFO]: Sold 1133.8, Currency: BURGER
[2022-07-06 23:11:28,761] [indiTest] [check] [INFO]: Sold 1133.8, Currency: BURGER
